Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL356769,TUBACIN,None,721.88,2,8.62,tubacin,O=C(CCCCCCC(=O)Nc1ccc([C@H]2O[C@@H](CSc3nc(-c4ccccc4)c(-c4ccccc4)o3)C[C@@H](c3ccc(CO)cc3)O2)cc1)NO,IC50,'=',1270,nM,5.9,,,UO_0000065,8.17,0.15,-2.72,4.12,0,CHEMBL2424317,Inhibition of HDAC3/NcoR2 (unknown origin) using RHKKAc from p53 as substrate,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL2417402,1,Scientific Literature,J Med Chem,2013,None,,,
CHEMBL3605494,,None,386.46,0,3.74,(S)-15b,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccccc3)CO2)cc1,IC50,'=',40,nM,7.4,,,UO_0000065,19.14,0.35,3.66,8.34,0,CHEMBL3606696,Inhibition of recombinant HDAC3/NCOR2 (unknown origin) pre-incubated for 3 hrs before substrate addition by homogeneous fluorogenic HDAC assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL3603817,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL4090647,,None,425.53,0,3.13,4k,Cc1cc(C)cc(C(=O)N(CCCCCC(=O)NO)CC(=O)NCc2ccccc2)c1,IC50,'=',26,nM,7.58,,,UO_0000065,17.82,0.33,4.46,7.68,0,CHEMBL4017029,Inhibition of full length human recombinant C-terminal His-tagged HDAC3/NcoR2 expressed in baculovirus infected Sf9 insect cells using Boc-Lys(epsilon-Ac)-AMC as substrate measured after 90 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4014348,1,Scientific Literature,J Med Chem,2017,None,,,
CHEMBL3098602,,None,458.44,0,1.86,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2018451,,None,335.41,0,2.8,19,CN1CCc2c(n(Cc3ccc(C(=O)NO)cc3)c3ccccc23)C1,IC50,'=',3981.07,nM,5.4,,,UO_0000065,,,,,0,CHEMBL4386410,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected insect cells measured after 40 mins by HDAC-Glo1/2 luminescent assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4385610,1,Scientific Literature,J Med Chem,2019,None,,,
CHEMBL4531802,,None,322.36,0,2.88,21,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)COCC3)cc1,IC50,'=',1258.93,nM,5.9,,,UO_0000065,,,,,0,CHEMBL4386410,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected insect cells measured after 40 mins by HDAC-Glo1/2 luminescent assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4385610,1,Scientific Literature,J Med Chem,2019,None,,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',105,nM,6.98,,,UO_0000065,26.4,0.5,4.51,8.9,0,CHEMBL4399659,Inhibition of recombinant human C-terminal GST/His-tagged HDAC3 (1 to 428 residues) co-expressed with human N-terminal GST-tagged NCOR2 (395 to 489 residues) in baculovirus infected Sf9 cells using ZMAL as substrate incubated for 90 mins by fluorometric method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4396931,1,Scientific Literature,Bioorg Med Chem,2019,CHEMBL3308860,,,
CHEMBL4543077,,None,621.76,2,5.25,3,CN(C)c1cccc2c(S(=O)(=O)N(CC(=O)NCc3ccccc3)Cc3ccc(C(=O)Nc4ccccc4N)cc3)cccc12,IC50,'=',1130,nM,5.95,,,UO_0000065,9.56,0.18,0.7,4.76,0,CHEMBL4399659,Inhibition of recombinant human C-terminal GST/His-tagged HDAC3 (1 to 428 residues) co-expressed with human N-terminal GST-tagged NCOR2 (395 to 489 residues) in baculovirus infected Sf9 cells using ZMAL as substrate incubated for 90 mins by fluorometric method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4396931,1,Scientific Literature,Bioorg Med Chem,2019,CHEMBL3308860,,,
CHEMBL4457698,,None,546.65,1,3.53,1,CN(C)c1cccc2c(S(=O)(=O)N(CC(=O)NCc3ccccc3)Cc3ccc(C(=O)NO)cc3)cccc12,IC50,'=',1020,nM,5.99,,,UO_0000065,10.96,0.21,2.46,5.03,0,CHEMBL4399659,Inhibition of recombinant human C-terminal GST/His-tagged HDAC3 (1 to 428 residues) co-expressed with human N-terminal GST-tagged NCOR2 (395 to 489 residues) in baculovirus infected Sf9 cells using ZMAL as substrate incubated for 90 mins by fluorometric method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4396931,1,Scientific Literature,Bioorg Med Chem,2019,CHEMBL3308860,,,
CHEMBL4104117,,None,293.33,0,2.97,13,O=C(NO)c1ccc(CNc2cccc3cccnc23)cc1,IC50,'=',7750,nM,5.11,,,UO_0000065,,,,,0,CHEMBL4028193,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in insect cells using RHK-K(Ac)-AMC as substrate after 60 mins by fluorescence assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4024792,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL4208901,,None,250.34,0,2.23,1a,O=C(CCCCCCNCc1ccccc1)NO,IC50,'=',430,nM,6.37,,,UO_0000065,25.43,0.48,4.14,10.38,0,CHEMBL4193701,Inhibition of recombinant human full-length C-terminal His-tagged HDAC3 (395 to 489 residues)/human NCOR2 expressed in baculovirus infected Sf9 insect cells using Boc-L-Lys(Ac)-AMC as substrate pretreated for 5 mins followed by substrate addition measured after 35 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4190328,1,Scientific Literature,ACS Med Chem Lett,2017,None,,,
CHEMBL4204967,,None,220.27,0,0.94,3b,O=C(CCN1CCc2ccccc2C1)NO,IC50,'=',98000,nM,4.01,,,UO_0000065,18.2,0.34,3.07,7.63,0,CHEMBL4193701,Inhibition of recombinant human full-length C-terminal His-tagged HDAC3 (395 to 489 residues)/human NCOR2 expressed in baculovirus infected Sf9 insect cells using Boc-L-Lys(Ac)-AMC as substrate pretreated for 5 mins followed by substrate addition measured after 35 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4190328,1,Scientific Literature,ACS Med Chem Lett,2017,None,,,
CHEMBL1771486,,None,568.63,1,4.31,A8B4,O=C1CC/C=C/CCC(=O)N(Cc2cccc(/C=N/NC(=O)c3cccc(C(=O)NO)c3)c2)C[C@@H](c2ccccc2)O1,IC50,'=',15000,nM,4.82,,,UO_0000065,8.48,0.16,0.51,3.51,0,CHEMBL1772081,Inhibition of full length HDAC3/NCoR2 assessed as 7-amino-4-methylcoumarin release from fluorophore conjugated substrate after 5 mins by fluorescence assay,B,BAO_0000223,protein complex format,None,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL1770095,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,
CHEMBL4520435,,None,514.67,2,5.51,1e,Nc1ccccc1NC(=O)CCCCCN(CC(=O)NC1CCCCC1)C(=O)c1cccc2ccccc12,IC50,'=',646,nM,6.19,,,UO_0000065,12.03,0.22,0.68,5.92,0,CHEMBL4338445,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected Sf9 insect cells using Boc-Lys(epsilon-acetyl)-AMC as substrate incubated for 90 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4334526,1,Scientific Literature,J Med Chem,2019,CHEMBL3308860,,,
CHEMBL4753670,,None,346.14,0,0.15,10a,O=C(CNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)NO,IC50,'=',1230,nM,5.91,,,UO_0000065,17.07,0.4,5.76,4.5,0,CHEMBL4679590,Inhibition of C-terminal His-tagged recombinant human HDAC3 (1 to 428 residues)/N-terminal GST-tagged recombinant human NCoR2 (395 to 489 residues) co-expressed in baculovirus infected Sf9 cells using Boc-Lys(Ac)-AMC as substrate preincubated for 15 mins followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4673384,1,Scientific Literature,ACS Med Chem Lett,2021,None,TIME = 1.25 hr,INHIBITOR,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',27,nM,7.57,,,UO_0000065,28.63,0.54,5.1,9.65,0,CHEMBL1921157,Inhibition of human recombinant HDAC3/NCoR2 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None,,,
CHEMBL4303643,,None,271.16,0,2.48,35,CCCCNNC(=O)c1ccc(Br)cc1,IC50,'=',60,nM,7.22,,,UO_0000065,26.63,0.66,4.74,17.56,0,CHEMBL4771448,Inhibition of human C-terminal His-tagged HDAC3 (1 to 428 residues)/human N-terminal GST-tagged NcoR2 (395 to 489 residues) expressed in sf9 cells using p53 (379 to 382 residues) (Arg-His-Lys(Ac)-Lys(Ac)) as substrate by fluorimetric assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4765362,1,Scientific Literature,J Med Chem,2020,None,,INHIBITOR,
CHEMBL3605503,,None,386.46,0,3.74,(S)-15h,Nc1ccccc1NC(=O)c1ccc(CNC2=NC[C@H](c3ccccc3)O2)cc1,IC50,'=',35,nM,7.46,,,UO_0000065,19.29,0.35,3.72,8.4,0,CHEMBL3606696,Inhibition of recombinant HDAC3/NCOR2 (unknown origin) pre-incubated for 3 hrs before substrate addition by homogeneous fluorogenic HDAC assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL3603817,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL343448,ROMIDEPSIN,4,540.71,1,1.43,FK-228,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,IC50,'=',146.9,nM,6.83,,,UO_0000065,12.64,0.26,5.4,4.79,0,CHEMBL929248,Displacement of fluorescent 5-(3-(3-(4-((4-((7-(hydroxyamino)-7-oxoheptyl)carbamoyl)phenylamino)methyl)-1H-1,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3793310,,None,394.47,1,5.83,3,Cc1[nH]c2ccccc2c1/C=C/c1ccccc1-c1ccc(/C=C/C(=O)NO)cc1,IC50,'=',3900,nM,5.41,,,UO_0000065,13.71,0.25,-0.42,8.31,0,CHEMBL3795915,Inhibition of full length human recombinant C-terminal His-tagged HDAC3 (1 to 428 residues)/human recombinant N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in insect cells using RHK-K(Ac)-AMC as substrate incubated for 60 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL3792283,1,Scientific Literature,Eur J Med Chem,2016,None,,,
CHEMBL4069631,,None,440.54,0,2.58,4j,CN(C)c1ccc(C(=O)N(CCCCCC(=O)NO)CC(=O)NCc2ccccc2)cc1,IC50,'=',6.5,nM,8.19,,,UO_0000065,18.58,0.35,5.61,8.03,0,CHEMBL4017029,Inhibition of full length human recombinant C-terminal His-tagged HDAC3/NcoR2 expressed in baculovirus infected Sf9 insect cells using Boc-Lys(epsilon-Ac)-AMC as substrate measured after 90 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4014348,1,Scientific Literature,J Med Chem,2017,None,,,
